med_condition_id,med_condition
635,INFECTION DES VOIES RESPIRATOIRES INFÉRIEURES
554,ACROMÉGALIE
543,TRAUMATISME
55,PONTAGE AORTOCORONARIEN
59,MÉLANOME CUTANÉ
498,PURPURA THROMBOCYTOPÉNIQUE IDIOPATHIQUE (PTI)
593,SYNDROME DE LOEIL SEC
327,LYMPHOME ANAPLASIQUE À GRANDES CELLULES
283,OBSTRUCTION PRIMAIRE DU COL VÉSICAL
295,HYPERLIPIDÉMIE PRIMAIRE
445,MALADIE VASCULAIRE ATHÉROSCLÉROTIQUE
410,OCCLUSIONS
403,HYPERTROPHIE DU MUSCLE MASSÉTER
68,DÉPENDANCE AUX DROGUES
509,"CANCER DU POUMON NON À PETITES CELLULES, AVANCÉ, AVEC LYMPHOME ANAPLASTIQUE KINASE POSITIF"
247,DÉFICIENCE EN TESTOSTÉRONE
128,THROMBOCYTOPÉNIE IMMUNITAIRE
416,FLUTTER AURICULAIRE
570,AMÉNORRHÉE PRIMAIRE
546,VAGINOSE BACTÉRIENNE
581,ADENOVIRUS
578,TENDINOSE AU TENDON D'ACHILLE
502,DISSECTION AORTOCORONARIENNE SPONTANÉE
496,MASTOCYTOSE CUTANÉE AVEC HANDICAP
641,MÉNINGITE
919,AVC NEONATAL
914,LES TROUBLES PULMONAIRES
861,FIBRODYSPLASIE OSSIFIANTE PROGRESSIVE
869,PNEUMONIE BACTÉRIENNE
870,HYPERCALCÉMIE INFANTILE IDIOPATHIQUE
644,SYNDROME POST-COMMOTION
418,TACHYARHYTHMIE SUPRAVENTRICULAIRE
643,HYPOPHOSPHATEMIE LIÉE AU CHROMOSOME X
639,FUSION DES VERTÈBRES LOMBAIRES POSTÉRO-EXTERNE
106,VIRUS DE L'HÉPATITE C DE GÉNOTYPE 1A OU 1B
826,INTOLÉRANCE À L'ALIMENTATION ENTÉRALE
821,HEPATITE B
903,LES POCHES MALAIRES
687,DÉFICIT EN LIPOPROTÉINE LIPASE
742,POLYNEUROPATHIE AMYLOÏDIQUE FAMILIALE
204,DÉPRESSION POSTPARTUM
551,PREVENTION DE L'INSUFFISANCE RÉNALE AIGUE
786,DÉGÉNÉRESCENCE CORTICO-BASALE
1056,SARCOME ÉPITHÉLIOÏDE
256,DIABÈTE DE TYPE 1
774,DYSTROPHIE MUSCULAIRE
668,THROMBOSE
627,CANCER DU SEIN TRIPLE NÉGATIF MÉTASTATIQUE
1028,MALADIE À CORONAVIRUS (COVID-19)
969,PRURIGO NODULAIRE
1045,CHOLANGITE SCLÉROSANTE PRIMAIRE
88,MYASTHÉNIE GRAVE GÉNÉRALISÉE (MG)
224,POLYARTHRITE RHUMATOÏDE
1006,UVÉITE
353,MYÉLOFIBROSE
321,AMYOTROPHIE SPINALE
167,MYÉLOME MULTIPLE
828,DÉFICIT EN ALPHA 1-ANTITRYPSINE (AAT)
935,LEUCÉMIE AIGUË LYMPHOBLASTIQUE À CELLULES B
425,RHINITE ALLERGIQUE SAISONNIÈRE
521,CARCINOME DU NASOPHARYNX
727,CHIRURGIE DE LA CATARACTE
911,FRACTURES DES CÔTES
329,ANÉMIE
125,HYPOGONADIQUE
10,CANCERS AVANCÉS
884,TYMPANOTOMIE
626,LOMBALGIE CHRONIQUE
893,CRISES D'ORIGINE FOCALES
771,MAUVAISE PERCEPTION DE L'HYPOGLYCÉMIE
457,MALADIE RÉNALE / NÉPHROPATHIE EN PHASE TERMINALE
820,CARCINOME HEPATOCELLULAIRE
973,CANCERS PORTEURS DE L`EGFR
865,SYNDROME DE PRADER-WILLI
758,POLYMYALGIE RHUMATISMALE
756,LYMPHOMES DES TESTICULES
504,INFARCTUS AIGU DU MYOCARDE
829,GRAVEMENT MALADE
883,RÉSECTION INTESTINALE
261,INFECTION DES VOIES RESPIRATOIRES SUPÉRIEURES
518,TUMEURS SOLIDES AVEC MUTATION EGFR
122,HYPERCHOLESTÉROLÉMIE
368,ARRÊT CARDIAQUE
408,CHIRURGIE RÉTROPÉRITONÉALE
409,CHIRURGIE PELVIENNE
104,VIRUS DE L'HÉPATITE C DE GÉNOTYPE 1
594,ULCÉRATIONS
325,NÉOVASCULARISATION CHOROÏDIENNE
298,FRACTURES INCOMPLÈTES ANORMALES DU FÉMUR
284,NEUROINFLAMMATION
233,ANÉMIE FALCIFORME
296,DYSLIPIDÉMIE MIXTE
307,CHIRURGIE OCULAIRE
287,HÉMORRAGIE SOUS-ARACHNOÏDIENNE ANÉVRYSMALE
313,VARIANTE COMPORTEMENTALE DE LA DÉMENCE FRONTOTEMPORALE (VCDFT)
435,TRAVAIL PRÉMATURÉ
708,PATHOLOGIES OSSEUSES
461,PSORIASIS DU CUIR CHEVELU ET DU CORPS
459,NÉOPLASME MÉTASTATIQUE DES GLANDES SALIVAIRES
449,SYNDROME DE DOWN
463,DÉFICIT EN TRANSPORTEUR DU GLUCOSE DE TYPE 1
536,ANGIOPLASTIE TRANSLUMINALE PERCUTANÉE AU-DESSOUS DU LIGAMENT INGUINAL
533,MACROGLOBULINÉMIE DE WALDENSTRÖM
517,RÉVEIL APRÈS ANESTHÉSIE
582,INFECTION AU VIRUS DE L'EBOLA
575,MALADIE À DÉPÔT DE CHAÎNE LÉGÈRE
589,BRULURES
493,CHYLOMICRONÉMIE
487,RADICULOPATHIE
24,CARCINOME DES CELLULES BASALES
812,TUMEURS EPITHELIAUX
800,CANCER ASSOCIÉ AU VIRUS
762,SIALORRHÉE
840,D'INSUFFISANCE RÉNALE
769,RADIONÉCROSE
720,NÉOPLASME À CELLULES DENDRITIQUES PLASMACYTOÏDES BLASTIQUES
736,PERTE D¿AUDITION NEUROSENSORIELLE AIGUË ET SOUDAINE
714,TRANSPLANTATION D'ORGANES
60,OTITE AIGUË EXTERNE
707,ARTHROPLASTIE DE L'ÉPAULE
667,DÉFICIT D'INHIBITEUR DE L'ALPHA-1-PROTÉINASE
897,INOPÉRABLE CARCINOME HÉPATOCELLULAIRE
730,HYPONATRÉMIE EUVOLÉMIQUE OU HYPERVOLÉMIQUE
733,DYSKINÉSIE CILIAIRE PRIMAIRE
784,HÉMORRAGIE INTRAVITRÉENNE
846,NÉVRITE OPTIQUE
694,LYMPHOME T ANGIOIMMUNOBLASTIQUE
592,LEUCÉMIE À TRICHOLEUCOCYTES
391,OEDÈME DE QUINCKE INDUIT PAR LES INHIBITEURS DE LENZYNE DE CONVERSION DE L'ANGIOTENSINE
214,CANCER DE LA PROSTATE
380,RIDES GLABELLAIRES
14,MALADIE D'ALZHEIMER
308,LEUCÉMIE
640,INFECTION AU VIRUS EPSTEIN-BARR (VEB)
47,BRONCHOPNEUMOPATHIE OBSTRUCTIVE CHRONIQUE
663,MIGRAINES ÉPISODIQUES
698,CANCER DU POUMON AVANCÉ
217,POLYARTHRITE PSORIASIQUE
191,MALADIE DE PARKINSON
1023,CANCER
29,CANCER DU SEIN HER2 POSITIF
423,MALADIE PULMONAIRE INTERSTITIELLE
49,CANCER DU CÔLON
1007,CONJONCTIVITE LIGNEUSE
999,D'HYPOFONCTION DE LA GLANDE PAROTIDE
117,VIRUS DE L'IMMUNODÉFICIENCE HUMAINE (VIH)
124,HYPERTENSION
127,FIBROSE PULMONAIRE IDIOPATHIQUE
232,ANÉMIE À HÉMATIES FALCIFORMES
330,ARTÉRITE À CELLULES GÉANTES
326,HYPERTENSION THROMBOEMBOLIQUE CHRONIQUE PULMONAIRE
73,CANCER DE L'ENDOMÈTRE
1025,L'ABUS D'OPIACÉS
933,LYMPHOME B EN RECHUTE OU RÉFRACTAIRE
855,OBÉSITÉ
964,MYOPATHIE INFLAMMATOIRE IDIOMATIQUE
181,OSTÉOPOROSE
94,DÉFICIT EN HORMONE DE CROISSANCE
444,INFLAMMATION VASCULAIRE
965,OPHTHALMOPATHIE DE GRAVES
954,RÉTINITE PIGMENTAIRE (RP)
680,CANCER ÉPITHÉLIAL DE L'OVAIRE
568,DÉGÉNÉRESCENCE MACULAIRE
310,APNÉE DU SOMMEIL
815,MALIGNES A CELLULES B
335,DYSPLASIE BRONCHOPULMONAIRE
151,OEDÈME MACULAIRE
314,CANCER MÉTASTATIQUE
172,NEUROBLASTOME
1052,L'INSUFFISANCE MITRALE ISCHÉMIQUE
285,DÉFICIT COGNITIF
631,CONJUNCTIVITÉ ALLERGIQUE
1062,PROTOPORPHYRIE
1035,PNEUMONIE NON NOSOCOMIALE
864,ATHÉROSCLÉROSE
432,GASTROPARÉSIE DIABÉTIQUE
1042,MALADIE LIÉE À L¿IGG4
57,MALADIE DE CROHN
393,CANCER UROTHÉLIALE
345,HÉPATITE B CHRONIQUE
89,GLAUCOME
825,SYNDROME DE DRAVET
466,ARTHROPLASTIE DU GENOU
350,GLIOMES PONTIQUES INTRANSÈQUES DIFFUS
612,TUMEURS DESMOÎDES
474,TUMEURS MALIGNES
595,PYODERMA GANGRENOSUM
74,ENDOMÉTRIOSE
601,CHOLANGIQUE SCLÉROSANTE PRIMAIRE
402,GRANULOMATOSE ÉOSINOPHILIQUE
1002,CANCER DU SEIN ER+/HER2
340,SÉDATION
537,SAIGNEMENTS INCONTRÔLÉS
467,ANALGÉSIE
975,ALLERGIES
894,LA DOULEUR CANCÉREUSE
699,BLESSURE À LA MOELLE ÉPINIÈRE
441,MÉTASTASES DU FOIE
249,MYÉLOFIBROSE THROMBOCYTHÉMIQUE
879,D'ACV ISCHÉMIQUE AIGU
974,CPNPC NON-ÉPIDERMOIDE/ÉPIDERMOIDE
255,TRANSPLANTATION
1058,DISLEXIE
1047,BLESSURE THERMALE
927,LE REFLUX GASTRO-OESOPHAGIEN
269,CANDIDOSE VULVO-VAGINALE
743,MALADIE POLYKYSTIQUE RÉNALE AUTOSOMIQUE DOMINANTE (MPRAD).
907,CONTRACTURES ARTICULAIRES POST-TRAUMATIQUE
908,LA MUCOSITE BUCCALE
818,BRONCHOCONSTRICTION
716,CHIRURGIE THORACIQUE
366,CANCER DE L'ENDOMÈTRE MÉTASTATIQUE
863,BAISSE DU DÉSIR SEXUEL
488,LAPAROSCHISIS
678,ADÉNOCARCINOME CANALAIRE PANCRÉATIQUE
712,MÉTASTASES OSSEUSES
442,PNEUMONIE
906,LE LYMPHOME CUTANÉ À CELLULES T (CTCL)
949,AUGMENTATION DES RÉUSSITES DES FÉCONDATIONS IN VITRO (FIV)
198,MÉSOTHÉLIOME PLEURAL
968,REJET D'UNE GREFFE DE REIN
966,ACHROMATOPSIE CONGÉNITALE
721,CARCINOME À CELLULES DE MERKEL
221,INSUFFISANCE RÉNALE
700,NON SPÉCIFIÉ
745,SYNDROME D'ALPORT
831,D'INSUFFISANCE HÉPATIQUE
852,CONJONCTIVITE BACTÉRIENNE
606,HÉMATOME SOUS-DURAL CHRONIQUE
253,SURCHARGE EN FER TRANSFUSIONNELLE
618,GRANULOMATOSE
709,ILÉOSTOMIE
301,INFERTILITÉ
419,ANÉVRISME AORTIQUE
651,PROPHYLAXIE POUR PRÉVENTION DE THROMBOEMBOLIES
342,MÉLANOME AVEC MUTATION BRAF
451,ACOUPHÈNES / BOURDONNEMENT D'OREILLES
359,GASTROPARÉSIE
336,HÉMORRAGIE SOUS-ARACHNOIDIENNE ANÉVRYSMALE
377,UVÉITE POSTÉRIEURE
492,SYNDROME DE NAEVUS DES CELLULES BASALES
389,HÉMORRAGIE SOUS-ARACHNOÏDIENNE
925,SPASME INFANTILE
530,THROMBOSE VEINEUSE
795,ADÉNOME PARATHYROÏDIEN
859,L'ABLATION DU VAGIN
868,PRÉVENTION D'UNE INSUFFISANCE CARDIAQUE DROITE
155,SYNDROME DE MÉNIÈRE
650,ADÉNOCARCINOMES MÉTASTATIQUE  DU CONDUIT PANCRÉATIQUE
637,DYSFONCTIONNEMENT VENTRICULAIRE GAUCHE ISCHÉMIQUE
529,THROMBOEMBOLIE VEINEUSE AIGUE
755,SYNDROME HÉPATO-RÉNAL DE TYPE 1
746,HÉPATITE ALCOOLIQUE (HA)
83,HYPERCHOLESTÉROLÉMIE FAMILIALE
875,L'OCCLUSION DE L'INTESTIN GRÊLE
396,IMMUNOSUPPRESSION INDUITE PAR LES UV
383,DÉFAUTS DES TISSUS MOUS
414,ALBUMINURIE
787,SYNDROME DE LI-FRAUMENI
783,RÉTINOPATHIE DIABÉTIQUE
202,NÉVRALGIE POST-HERPÉTIQUE
347,MALADIE DE PICK
426,HYPERAMMONIÉMIE
90,GLIOBLASTOME
1040,CANCERS DES VOIES BILIAIRES AMPLIFIÉS HER2
1061,ARTHRALGIE
693,RÉSISTANCE AUX ANTIBIOTIQUES
31,CANCER DU SEIN MÉTASTATIQUE
28,CANCER DU SEIN
34,CARCINOME DE LA TÊTE ET DU COU
278,TUMEURS SOLIDES
1000,XÉROSTOMIE
904,LE NÉPHROPATHIE À IGA
246,SCLÉRODERMIE GÉNÉRALISÉE
280,VIRUS RESPIRATOIRE SYNCYTIAL
183,CANCER OVARIEN
873,HYPERGLYCÉMIE
681,NÉPHROPATHIE LUPIQUE
196,PSORIASIS EN PLAQUES
692,CANCER PÉRITONÉAL PRIMAIRE
991,NAUSEA
830,CHOLANGITE SCLÉROSANTE PRIMITIVE (CSP)
590,HÉMORRAGIE
206,SPASTICITÉ DU MEMBRE INFÉRIEUR APRÈS ACCIDENT VASCULAIRE CÉRÉBRAL
58,MALADIE DE CUSHING
306,SYNDROME MÉTABOLIQUE
889,LA SCOLIOSE
980,LES SYMPTÔMES VASOMOTEURS LIÉS À LA MÉNOPAUSE
587,CHOLANGIOME MALIN
40,OCCLUSION DE LA VEINE CENTRALE DE LA RÉTINE
1041,DERMATITE ATOPIQUE DES MAINS ET DES PIEDS.
1055,LE SYNDROME WHIM
1057,LE SPONDYLOLISTHÉSIS DÉGÉNÉRATIF
703,ANOREXIE
819,MALADIE DES AGGLUTINES FROIDES
600,LIPOSARCOME
630,CHOLÉRA
988,LA NÉPHROPATHIE DIABÉTIQUE
843,URTICAIRE CHRONIQUE SPONTANÉE
456,MALADIE RÉNALE CHRONIQUE
574,AMYLOIDOSE
625,CANCER DE LA VESSIE
514,MYÉLOFIBROSE POST-POLYCYTHÉMIE VRAIE
8,CARCINOME ADÉNOÏDE KYSTIQUE
880,L'ACCOUCHEMENT PAR CÉSARIENNE
753,CHOLANGIOCARCINOME INTHAHEPTIQUE
352,CARCINOME ÉPIDERMOÏDE DE L'OESOPHAGE
320,ADÉNOCARCINOME
662,BLESSURE DU CARTILAGE ARTICULAIRE
333,FIBROMES UTÉRINS
275,HEPATITE C
77,HYPERACTIVITÉ NEUROGÈNE DU DÉTRUSOR
729,STÉNOSE DES VEINES PULMONAIRES
92,GLIOME MALIN
184,CANCER OVARIEN - PÉRITONÉAL PRIMITIF
495,MASTOCYTOSE SYSTÉMIQUE INDOLENTE
45,SURCHARGE CHRONIQUE EN FER EXIGEANT UN TRAITEMENT PAR CHÉLATION
971,MYCOSIS FONGOIDE
563,CRITIQUE DES MEMBRES INFÉRIEURS
764,CANCERS HYPERMUTANTS
767,DIABÈTE SUCRÉ GESTATIONNEL
62,CYTOMÉGALOVIRUS
142,MALADIE DU FOIE
397,SPONDYLARTHRITE ANKYLOSANTE
584,SYNDROME DES ANTIPHOPHOLIPIDES
856,MALADIE DE CHARCOT-MARIE-TOOTH TYPE 1A
165,LEUCÉMIE MYÉLOÏDE
87,GAUCHER DISEASE TYPE 1
479,SYNDROME DE HUNTER
624,DÉGÉNÉRESCENCE LOBAIRE FRONTO-TEMPORALE
460,MEDULLOBLASTOME
660,ACCIDENT VASCULAIRE EMBOLIQUE
661,EMBOLIE SYSTÉMIQUE
1049,MYOPATHIE MYOTUBULAIRE
513,MYÉLOFIBROSE POST-THROMBOCYTHÉMIE ESSENTIELLE
93,GOUTTE
220,DYSFONCTIONNEMENT RÉNAL
316,TROUBLE OBSESSIONNEL COMPULSIF
305,DELERIUM
561,MÉLANOME NÉGATIF AU NRAS
318,DYSTROPHINOPATHIE AVEC MUTATION NONSENS
312,TROUBLES PSYCHOTIQUES
270,SYNDROME MYASTHÉNIQUE LAMBERT-EATON (SMLE)
160,MUCOPOLYSACCHARIDOSE IVA (SYNDROME DE MORQUIO)
200,THROMBOCYTÉMIE ESSENTIELLE
430,NEUROFIBROMATOSE DE TYPE I
143,DYSFONCTION HÉPATIQUE / DU FOIE
540,CARDIOMYOPATHIE HYPERTROPHIQUE SARCOMÉRIQUE PRÉCOCE
156,MÉNINGITE B
705,THROMBOPHILIE HÉRÉDITAIRE
484,TRANSPLANTATION HÉPATIQUE
477,SYNDROME POSTÉRIEUR À LA POLIO
119,VIRUS DU PAPILLOME HUMAIN (VPH)
909,SARCOÏDOSE CARDIAQUE
912,D'HYPERTENSION INTRACRÂNIENNE IDIOPATHIQUE
806,STÉATOSE HÉPATIQUE
811,MALADIES AUTOINFLAMMATOIRES MONOGENIQUES DICTEE PAR IL-18
809,HEPATITE AUTO-IMMUNE
309,SCLÉROSE TUBÉREUSE DE BOURNEVILLE
686,SARCOMES AU COURS DE L'ENFANCE
652,NÉVRITE OPTIQUE AIGUË
785,DÉFICIT EN ORNITHINE CARBAMYL TRANSFÉRASE
841,CARDIOMYOPATHIE DILATÉE
193,LYMPHOME T PÉRIPHÉRIQUE
439,TROUBLES GASTRO-INTESTINAUX
614,SAIGNEMENTS MAJEURS SÉVÈRES
23,OESOPHAGE DE BARRETT
358,ÉVÉNEMENTS ISCHÉMIQUES
1051,LACÉRATION DES NERFS DE LA MAIN
542,CARDIOMYOPATHIE AMYLOÏDE TRANSTHYRÉTINIENNE
838,D'ALOPÉCIE EN AIRES
103,VIRUS DE L'HÉPATITE B
851,CHIRURGIE GASTRO-INTESTINALE
571,TUMEURS SOLIDES AVANCÉES
392,ÉPILEPSIE
1038,ALLERGIE AU LAIT DE VACHE
258,COLITE ULCÉREUSE
27,MÉTASTASES CÉRÉBRALES
212,OSTÉOARTHRITE DU GENOU
186,DOULEUR
311,LUPUS ÉRYTHÉMATEUX DISSÉMINÉ
137,MALADIE DU REIN
1,ACNÉ
792,PRURIT
362,LEUCÉMIE LYMPOIDE CHRONIQUE
892,PETIT LYMPHOME LYMPHOCYTAIRE
356,CANCER DU COL DE L'UTÉRUS
525,CHIRURGIE DE L'ÉPAULE
689,PSORIASIS EN PLAQUES CHRONIQUE
281,THROMBOLYSE
957,TOXICITE IMMUNITAIRE
4,RHUMATISME PSORIASIQUE ÉVOLUTIF
153,MÉSOTHÉLIOME PLEURAL MALIN
922,HYPEROXALURIE
548,DOULEUR CHRONIQUE DU SCROTUM
648,PURPURA THROMBOPÉNIQUE THROMBOTIQUE
252,SYNDROME DE TOURETTE
697,SYNDROME DE L'INTESTIN COURT
538,ÉVÈNEMENTS CARDIOVASCULAIRES MAJEURS
794,STÉATOSE HÉPATIQUE NON ALCOOLIQUE (SHNA)
773,CANCER DU SYSTÈME NERVEUX CENTRAL
1021,SURVIVANTS DU CANCER
505,"CANCER DU POUMON NON À PETITES CELLULES, AVANCÉ LOCALEMENT OU MÉTASTATIQUE"
747,LEUCÉMIE MYÉLOMONOCYTAIRE CHRONIQUE (LMMC-2)
166,LEUCÉMIE MYÉLOMONOCYTAIRE
63,DIABÈTE SUCRÉ
188,TUMEURS NEUROENDOCRINES DU PANCRÉAS
